n,arch,status,test_rmse,elapsed_sec,activation,batch_size,coriolis_hidden,coriolis_matrix_form,coriolis_structural,correction_dropout,correction_gain_ramp_frac,correction_reg_inertia_normalize,data_train_fraction,data_train_seed,dropout,early_stop_metric,early_stopping,ema_decay,enable_passivity_loss,epochs,feature_noise_std,friction_form,friction_hidden,grad_clip_norm,gravity_hidden,hidden_layers,inertia_hidden,inertia_psd,joint_loss_weights,lambda_correction_decay,lambda_correction_reg,lambda_correction_reg_per_component,lambda_passivity,learning_rate,lr_scheduler,min_delta,optimizer,patience,phi_lr_ratio,physics_warmup_fraction,physics_weight,print_every,seed,snapshot_every,spectral_norm,stride,torch_compile,torch_compile_mode,use_friction_qdd,use_phys_cond,warmup_cosine_min_factor,weight_decay
1,edr,ok,0.090244,0.0,silu,256,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.02,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
2,edr,ok,0.090431,0.0,silu,256,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
3,edr,ok,0.090485,0.0,silu,1024,48-48,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
4,edr,ok,0.090491,0.0,silu,1024,48-48,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
5,edr,ok,0.090555,0.0,silu,256,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.01,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
6,edr,ok,0.090601,0.0,silu,1024,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
7,edr,ok,0.090615,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.1,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
8,edr,ok,0.090706,0.0,silu,1024,48-48,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
9,edr,ok,0.090838,0.0,silu,1024,64-64,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,64-64,,64-64,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
10,edr,ok,0.091094,0.0,silu,256,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.01,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
11,edr,ok,0.091181,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.1,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
12,edr,ok,0.091247,0.0,silu,1024,48-48,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
13,edr,ok,0.091335,0.0,silu,1024,64-64,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,64-64,,64-64,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
14,edr,ok,0.091538,0.0,silu,1024,64-64,False,False,0.45,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,64-64,,64-64,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
15,edr,ok,0.091707,0.0,silu,256,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
16,edr,ok,0.091756,0.0,silu,1024,64-64,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,64-64,,64-64,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
17,edr,ok,0.091778,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.002,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
18,edr,ok,0.091978,0.0,silu,256,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.005,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
19,edr,ok,0.091993,0.0,silu,1024,64-64,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,64-64,,64-64,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
20,edr,ok,0.092046,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.05,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
21,edr,ok,0.092210,0.0,silu,1024,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
22,edr,ok,0.092228,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.005,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
23,edr,ok,0.092322,0.0,silu,1024,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.01,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
24,edr,ok,0.092327,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.02,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,True,True,0.05,0.002
25,edr,ok,0.092498,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.005,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
26,edr,ok,0.092825,0.0,silu,256,32-32,False,False,0.15,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.2,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
27,edr,ok,0.092829,0.0,silu,1024,64-64,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,32-32,1.0,64-64,,64-64,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
28,edr,ok,0.092870,0.0,silu,256,32-32,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1500,0.02,mlp,16-16,1.0,32-32,,32-32,False,,none,0.02,,0.01,0.0003,warmup_cosine,1e-05,adamw,150,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
29,edr,ok,0.093201,0.0,silu,1024,48-48,False,False,0.3,0.3,True,1.0,42,,val_rmse,True,0.9,False,1000,0.02,mlp,24-24,1.0,48-48,,48-48,False,,none,0.05,,0.01,0.0006,warmup_cosine,1e-05,adamw,50,,,,2,42,0,False,1,False,default,False,True,0.05,0.002
