architecture,axis,raw_value,norm_score,lower_is_better
FNN,pooled_rmse,0.120576,0.897553,True
Physics-Reg.,pooled_rmse,0.108224,1,True
EDR,pooled_rmse,0.110663,0.97796,True
FNN,r2_overall,0.861917,0.969797,False
Physics-Reg.,r2_overall,0.88876,1,False
EDR,r2_overall,0.88369,0.994295,False
FNN,mean_mae,0.0744361,0.948522,True
Physics-Reg.,mean_mae,0.0706043,1,True
EDR,mean_mae,0.0729499,0.967846,True
FNN,mean_nrmse,0.0863569,0.924645,True
Physics-Reg.,mean_nrmse,0.0798495,1,True
EDR,mean_nrmse,0.0803644,0.993593,True
FNN,params,69637,0.609206,True
Physics-Reg.,params,549381,0.12,True
EDR,params,13374,1,True
